,Price,CPU,SSD,HDD,Ram,GPU,Resolution
0,9.350252000000001,9,1.0,0.0,32,9.0,3
1,9.151302000000001,9,1.0,0.0,32,9.0,3
2,4.141781,7,0.512,0.0,16,5.4,2
3,3.4902589999999996,7,0.512,0.0,16,5.4,2
4,3.0236419999999997,5,0.512,0.0,16,2.0,2
5,3.119337,7,0.512,0.0,16,3.0,2
6,1.165449,1,0.256,0.0,4,2.0,2
7,3.633145,7,1.0,0.0,16,3.0,2
8,2.5859520000000003,5,1.0,0.0,8,4.5,2
9,1.31303,2,0.256,0.0,8,2.0,2
10,1.233092,2,0.256,0.0,8,3.0,2
11,5.954375,5,0.512,0.0,16,3.0,2
12,3.947924,7,0.512,0.0,16,3.0,2
13,3.301774,7,0.512,0.512,16,5.4,2
14,1.470201,3,0.256,0.0,8,3.0,2
15,5.172301999999999,9,1.0,0.0,32,4.5,2
16,6.297562999999999,7,1.0,0.0,16,8.0,2
17,1.9095220000000002,3,0.256,0.0,8,2.0,2
18,2.5859520000000003,5,0.512,0.0,16,3.0,3
19,2.5859520000000003,5,0.512,0.0,16,3.0,3
20,2.5859520000000003,5,0.512,0.0,16,3.0,3
21,4.137762,7,0.512,0.0,16,5.7,2
22,2.7650069999999998,5,0.512,0.0,8,5.4,2
23,0.8749819999999999,1,0.128,0.0,4,2.0,2
24,2.983852,5,0.512,0.0,16,3.0,3
25,3.7796519999999996,7,0.512,0.0,16,3.0,3
26,3.5807019999999996,5,0.512,0.0,16,3.0,3
27,5.371251999999999,7,1.0,0.0,16,3.0,3
28,2.983852,5,0.512,0.0,16,3.0,3
29,4.1775519999999995,7,0.512,0.0,16,3.0,3
30,3.7796519999999996,7,0.512,0.0,16,3.0,3
31,4.575451999999999,5,0.512,0.0,16,3.0,3
32,1.7105720000000002,5,0.256,0.0,8,3.0,2
33,3.2030950000000002,7,0.512,0.0,8,5.4,2
34,4.257132,9,0.512,0.0,16,6.0,2
35,1.7280799999999998,5,0.256,0.0,8,2.0,2
36,2.625742,5,0.256,1.0,8,2.0,2
37,3.280646,7,0.512,0.0,8,4.5,2
38,2.426792,5,0.512,0.0,16,3.0,2
39,1.9095220000000002,5,0.512,0.0,8,2.0,2
40,5.530412,7,1.0,0.0,16,6.0,3
41,3.501122,5,0.512,0.0,16,5.4,2
42,5.092722,7,0.512,0.0,16,6.0,2
43,1.471832,3,0.256,0.0,8,2.0,1
44,2.963957,5,0.512,0.0,16,5.4,2
45,4.674926999999999,7,1.0,0.0,16,5.7,2
46,4.1775519999999995,7,0.512,0.0,16,5.7,2
47,2.7650069999999998,5,0.512,0.0,8,5.4,2
48,1.9891020000000001,5,0.512,0.0,8,3.0,2
49,2.028892,3,0.256,1.0,8,2.0,2
50,1.233092,3,0.0,1.0,8,2.0,2
51,2.703691,5,0.512,0.0,16,2.0,2
52,2.5859520000000003,5,0.512,0.0,8,3.5,2
53,2.86484,7,0.512,0.0,16,3.0,2
54,2.5027909999999998,5,0.512,0.0,16,3.0,2
55,3.139431,5,1.0,0.0,8,5.4,2
56,0.994352,1,0.256,0.0,4,2.0,1
57,0.9545620000000001,1,0.128,0.0,4,2.0,1
58,2.5859520000000003,5,0.512,0.0,8,4.5,2
59,1.0341420000000001,1,0.256,0.0,4,2.0,1
60,1.985123,5,0.512,0.0,8,3.0,2
61,4.3765019999999994,7,0.512,1.0,16,5.7,2
62,3.11118,5,0.512,0.0,8,5.7,2
63,5.1719040000000005,7,1.0,0.0,16,5.7,2
64,2.148262,3,0.512,0.0,8,2.0,2
65,1.786571,5,0.512,0.0,8,3.0,2
66,1.467853,2,0.256,0.0,8,2.0,1
67,2.646035,5,0.256,1.0,8,2.0,2
68,3.5647860000000002,7,0.512,0.0,16,3.0,2
69,2.741531,5,0.512,0.0,16,3.0,2
70,3.6801769999999996,5,0.512,0.0,16,5.7,2
71,4.655032,7,0.512,0.0,16,5.7,2
72,9.350252000000001,9,1.0,0.0,32,9.0,3
73,9.151302000000001,9,1.0,0.0,32,9.0,3
74,4.141781,7,0.512,0.0,16,5.4,2
75,3.4902589999999996,7,0.512,0.0,16,5.4,2
76,3.0236419999999997,5,0.512,0.0,16,2.0,2
77,3.119337,7,0.512,0.0,16,3.0,2
78,1.165449,1,0.256,0.0,4,2.0,2
79,3.633145,7,1.0,0.0,16,3.0,2
80,2.5859520000000003,5,1.0,0.0,8,4.5,2
81,1.31303,2,0.256,0.0,8,2.0,2
82,1.233092,2,0.256,0.0,8,3.0,2
83,5.954375,5,0.512,0.0,16,3.0,2
84,3.947924,7,0.512,0.0,16,3.0,2
85,3.301774,7,0.512,0.512,16,5.4,2
86,1.470201,3,0.256,0.0,8,3.0,2
87,5.172301999999999,9,1.0,0.0,32,4.5,2
88,6.297562999999999,7,1.0,0.0,16,8.0,2
89,1.9095220000000002,3,0.256,0.0,8,2.0,2
90,2.5859520000000003,5,0.512,0.0,16,3.0,3
91,2.5859520000000003,5,0.512,0.0,16,3.0,3
92,2.5859520000000003,5,0.512,0.0,16,3.0,3
93,4.137762,7,0.512,0.0,16,5.7,2
94,2.7650069999999998,5,0.512,0.0,8,5.4,2
95,0.8749819999999999,1,0.128,0.0,4,2.0,2
96,3.592639,7,0.512,0.0,16,5.4,2
97,1.630992,3,0.512,0.0,8,2.0,2
98,2.9440619999999997,5,0.512,0.0,16,5.4,2
99,1.790152,5,0.512,0.0,8,3.0,2
100,1.9891020000000001,3,0.256,0.0,8,2.0,2
101,1.7105720000000002,5,0.0,1.0,8,2.0,2
102,0.99471,1,0.128,0.0,4,2.0,1
103,1.193302,1,0.128,0.0,4,2.0,1
104,2.5859520000000003,7,0.512,0.0,16,3.0,2
105,2.546162,5,0.512,0.0,8,3.0,2
106,2.5859520000000003,7,0.512,0.0,16,3.0,2
107,1.0739319999999999,1,0.256,0.0,4,2.0,1
108,2.108472,3,0.512,0.0,8,2.0,2
109,1.551412,3,0.512,0.0,8,2.0,2
110,2.108472,7,0.512,0.0,16,3.0,2
111,1.392252,3,0.0,1.0,8,2.0,1
112,1.630992,3,0.256,1.0,8,2.0,2
113,2.466582,5,0.512,0.0,8,3.0,2
114,8.28388,9,1.0,0.0,32,6.0,4
115,1.093827,1,0.0,0.0,4,2.0,1
116,1.093827,1,0.0,0.0,4,2.0,1
117,6.49333,7,1.0,0.0,16,5.4,4
118,2.188052,5,0.512,0.0,8,3.0,2
119,2.3949599999999998,5,0.512,0.0,8,3.0,2
120,2.3949599999999998,5,0.512,0.0,8,3.0,2
121,2.188052,5,0.512,0.0,8,3.0,2
122,6.49333,7,1.0,0.0,16,5.4,4
123,1.770615,3,0.512,0.0,8,2.0,2
124,2.184073,7,0.512,0.0,16,3.0,2
125,1.4319629999999999,3,0.256,0.0,4,2.0,2
126,2.904272,5,0.512,0.0,8,5.4,2
127,2.227842,3,0.512,0.0,8,2.0,2
128,3.103222,7,0.512,0.0,16,4.5,2
129,2.784902,5,0.512,0.0,8,5.4,2
130,2.347212,3,0.512,0.0,8,2.0,2
131,0.9545620000000001,1,0.256,0.0,4,2.0,1
132,3.501122,7,0.512,0.0,16,3.0,2
133,2.3074220000000003,5,0.512,0.0,8,3.0,2
134,1.7105720000000002,3,0.512,0.0,8,2.0,2
135,2.9918099999999996,5,0.512,0.0,16,3.0,2
136,3.9786019999999995,7,0.512,0.0,16,3.0,2
137,1.8617740000000003,5,0.512,0.0,8,3.0,2
138,1.630992,3,0.512,0.0,8,2.0,2
139,1.7105720000000002,3,0.512,0.0,8,2.0,2
