No.,name,Series,Model_Name,Model_Number,Color,Price(THB),Type,Suitable_For,Power_Supply,Processor_Brand,Processor_Name,Vaiant,Clock_Speed,Cache(MB),SSD_Capacity(GB),HDD_Capacity(GB),RAM(GB),RAM_Type,Expandable_Memory,Memory_Slots,RAM_Frequency(MHz),Graphic_Processor_Brand,Graphic_Processor,GPU_Score,Operating_System,Mic_In,USB_Port,HDMI_Port,Touchscreen,ScreenSize(inch),ScreenReolution,Screen_Type,Speakers,Internal_Mic,Wireless_LAN,Bluetooth,Weight(KG),Finger_Print_Sensor,Keyboard,Backlit_Keyboard,Ethernet,Web_Camera,Pointer_Device,Battery_Backup,RJ45,Refresh_Rate
0,ASUS,ROG Strix SCAR 17,G733ZW-LL139WS,G733ZW-LL139WS,Off Black,93502.52,Gaming Laptop,Gaming,280 W AC Adapter,Intel,Core i9,12900H,2.5 GHz upto max turbo frequency at 5.0 Ghz,24,1000,0,32,DDR5,64,N/A,N/A,NVIDIA,RTX 3070 Ti,9,Windows 11 Home,Yes,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.1,No,17.3,2560x1440,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",Four built-in speakers,Built-in array microphone,Wi-Fi 6E(802.11ax),5.2,2.9,No,Backlit Chiclet Keyboard Per-Key RGB,Yes,No,No,Touchpad,N/A,N/A,N/A
1,ASUS,ROG Strix SCAR 15,G533ZW-LN136WS,G533ZW-LN136WS,Off Black,91513.02,Gaming Laptop,Gaming,280 W AC Adapter,Intel,Core i9,12900H,2.5 GHz upto max turbo frequency at 5.0 Ghz,24,1000,0,32,DDR5,64,N/A,N/A,NVIDIA,RTX 3070 Ti,9,Windows 11 Home,Yes,"1 x Thunderbolt 4 support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.1,No,15.6,2560x1440,"WQHD, IPS-level, 300nits, Contras 1000:1, Anti-glare display",Four built-in speakers,Built-in array microphone,Wi-Fi 6E(802.11ax),5.2,2.3,No,Backlit Chiclet Keyboard Per-Key RGB,Yes,No,No,Touchpad,N/A,N/A,N/A
2,HP,Victus,16-e0351AX,16-e0351AX,Mica Silver,41417.81,Gaming Laptop,Gaming,N/A,AMD,Ryzen 7,5800H,3.2 GHz upto max turbo frequency at 4.4 GHz,16,512,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 2.0,No,16.1,1920x1080,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 137 ppi",Built-in Dual Speakers,Built-in dual array digital microphones,Realtek Wi-Fi 6 (2x2),5.2,2.48,No,"Full-size, backlit, mica silver keyboard with numeric keypad",Yes,10/100/1000 GbE LAN,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
3,Lenovo,IdeaPad Gaming 3i,IdeaPad Gaming 3,15ACH6,Shadow Black,34902.59,Gaming Laptop,Gaming,Slim Tip 3-pin Power Adapter,AMD,Ryzen 7,5800H,3.2 GHz,16,512,0,16,DDR4,N/A,2,3200,NVIDIA,RTX 3050,5.4,Windows 11 Home,N/A,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1",1 x HDMI 2.0,No,15.6,1920x1080,"Full HD Anti-glare Display, 250nits Brightness, 120Hz, 45 Percent NTSC, DC Dier",Stereo Speakers,Built-In Dual Array Microphone,IEEE 802.11a/b/g/n/ac,5,2.25,No,English Backlit Keyboard,Yes,100/1000M,720p HD with PrivacyShutter,Multi-touch Touchpad,Upto 4 hours,Yes,N/A
4,Lenovo,Yoga Slim 7,Yoga Slim 7 14ITL05,82A300MBIN,Slate Grey,30236.42,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business",N/A,Intel,Core i5,N/A,N/A,N/A,512,0,16,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,N/A,Yes,Yes,Yes,14,1920x1080,Full HD,Inbuilt,Yes,Yes,Yes,N/A,No,Backlit,Yes,No,Yes,Touchpad,Upto 12 Hours,N/A,N/A
5,Lenovo,Yoga Slim 7,Yoga Slim 7,14ITL05,Slate Grey,31193.37,Thin and Light Laptop,Processing & Multitasking,65W USB-C AC Adapter,Intel,Core i7,1135G7,2.4 GHz,8,512,0,16,DDR4,N/A,N/A,3200,Intel,Iris Xe,3,Windows 11 Home,N/A,"1 x USB-C 3.2 Gen 2, 2 x USB 3.2 Gen 1",1 x HDMI 2.0b,No,14,1920x1080,"14"" FHD (1920x1080) | IPS Technology | 300Nits Brightness |100% sRGB",2 x 2W front-facing Dolby Atmos® Speaker System,Built-In Dual Array Microphone,IEEE 802.11a/b/g/n/ac/ax,5,1.36,Yes,English Backlit Keyboard,Yes,No,IR + ToF & 720p HD with PrivacyShutter,ClickPad,Upto 15 hours,N/A,N/A
6,Lenovo,Lenovo V15,82C3(V15-IGL),82C30053IH,Iron Grey,11654.49,Thin and Light Laptop,"Everyday Use, Entertainment, Travel & Business, Processing & Multitasking",N/A,Intel,Celeron,N/A,N/A,N/A,256,0,4,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 10,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,Yes,Yes,N/A,No,N/A,N/A,No,Yes,Touchpad,upto 6 hours,N/A,N/A
7,Lenovo,Yoga 6,Yoga 6,13ALC6,Abyss Blue,36331.45,2 in 1 Laptop,Processing & Multitasking,45 W AC Adapter,AMD,Ryzen 7,5700U,1.8 GHz,8,1000,0,16,DDR4,N/A,N/A,3200,AMD,Radeon Graphics,3,Windows 11 Home,N/A,"2 x USB-C 3.2 Gen 1, 1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1",N/A,Yes,13.3,1920x1080,"13"" FHD (1920x1080) | IPS Technology | 300 Nits Glossy | Touch","Stereo Speakers, Dolby Atmos",Built-In Dual Array Microphone,IEEE 802.11a/b/g/n/ac/ax,5,1.31,Yes,English Backlit Keyboard,Yes,No,720p HD with PrivacyShutter,ClickPad + Lenovo Digital Pen,Upto 18 hours,N/A,N/A
8,ASUS,TUF Gaming F15,TUF Gaming F15,FX506LH-HN310W,Black,25859.52,Gaming Laptop,"Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance","150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal",Intel,Core i5,10300H,2.5 Ghz With Turbo Upto 4.5,8,1000,0,8,DDR4,32,DDR4 SO-DI * 2,2933,NVIDIA,GTX 1650,4.5,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C",1x HDMI,No,15.6,1920x1080,"15.6-inch, FHD (1920 x 1080) 16:9, anti-glare display, sRGB:62.5%, Adobe:47.1%, Refresh Rate:144Hz, Value IPS-level, Optimus",DTS software Built-in array microphone Built-in speaker 2-speaker system with Smart Amplifier Technology,Yes,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,5.1,2.3,No,Backlit Chiclet Keyboard RGB,Yes,No,720p HD,MultiGesture Touchpad,Upto 5 Hrs.,N/A,144 Hz
9,DELL,Inspiron,Inspiron 3521,Inspiron 3521,Carbon Black,13130.3,Notebook,Everyday Use,N/A,Intel,Pentium,N5030,3.1,4,256,0,8,DDR4,16,2,2666,Intel,UHD,2,Windows 11 Home,Yes,"2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4",1x HDMI 1.4 port,No,15.6,1920x1080,"HD, AG Narrow Border",Yes,Yes,802.11ac,5,1.61,No,English International Non Backlit Keyboard,Yes,Yes,HD,Touchpad,Upto 7 hours,Yes,N/A
